PASSIRA/CUMARU;CONVENCIONAL;12km;R$:4,00 
ESCADA/RECIFE;CONVENCIONAL;60km;R$:17,27 2022.1.804.11008
ESCADA/PONTE DOS CARVALHOS;CONVENCIONAL;43km;R$:12,37 
ESCADA/CABO;CONVENCIONAL;36km;R$:10,36 
ESCADA/MERÇÊS;CONVENCIONAL;20km;R$:5,76 
ESCADA/TIMBOASSU;CONVENCIONAL;5km;R$:4,00 
TIMBOASSU/RECIFE;CONVENCIONAL;55km;R$:15,83 
TIMBOASSU/PONTE DOS CARVALHOS;CONVENCIONAL;38km;R$:10,93 
TIMBOASSU/CABO;CONVENCIONAL;31km;R$:8,92 
TIMBOASSU/MERÇÊS;CONVENCIONAL;15km;R$:4,32 
ESCADA/CABO;CONVENCIONAL;36km;R$:10,36 2022.1.804.01302
ESCADA/MERÇÊS;CONVENCIONAL;20km;R$:5,76 
ESCADA/TIMBOASSU;CONVENCIONAL;5km;R$:4,00 
TIMBOASSU/CABO;CONVENCIONAL;31km;R$:8,92 
TIMBOASSU/MERÇÊS;CONVENCIONAL;15km;R$:4,32 
ESCADA/VITÓRIA DE SANTO ANTÃO;CONVENCIONAL;39km;R$:11,22 2022.1.804.11010
CUPIRA/RECIFE (PROLONGADA ATÉ PANELAS);CONVENCIONAL;192km;R$:55,25 2022.1.804.1129
PANELAS/PONTE DOS CARVALHOS;CONVENCIONAL;175km;R$:50,36 
PANELAS/CABO;CONVENCIONAL;168km;R$:48,34 
PANELAS/MERÇÊS;CONVENCIONAL;152km;R$:43,74 
PANELAS/TIMBOASSU;CONVENCIONAL;137km;R$:39,42 
PANELAS/ESCADA;CONVENCIONAL;132km;R$:37,98 
PANELAS/ENT. PRIMAVERA;CONVENCIONAL;115km;R$:33,09 
PANELAS/ARIPIBU;CONVENCIONAL;107km;R$:30,79 
PANELAS/RIBEIRÃO;CONVENCIONAL;98km;R$:28,20 
PANELAS/ENT. GAMELEIRA;CONVENCIONAL;91km;R$:26,19 
PANELAS/PALMARES;CONVENCIONAL;60km;R$:17,27 
PANELAS/CATENDE;CONVENCIONAL;44km;R$:12,66 
PANELAS/BELÉM DE MARIA;CONVENCIONAL;24km;R$:6,91 
PANELAS/LAGOA DOS GATOS;CONVENCIONAL;17km;R$:4,89 
PANELAS/CUPIRA;CONVENCIONAL;11km;R$:4,00 
CUPIRA/RECIFE;CONVENCIONAL;181km;R$:52,08 
CUPIRA/PONTE DOS CARVALHOS;CONVENCIONAL;164km;R$:47,19 
CUPIRA/CABO;CONVENCIONAL;157km;R$:45,18 
CUPIRA/MERÇÊS;CONVENCIONAL;141km;R$:40,57 
CUPIRA/TIMBOASSU;CONVENCIONAL;126km;R$:36,26 
CUPIRA/ESCADA;CONVENCIONAL;121km;R$:34,82 
CUPIRA/ENT. PRIMAVERA;CONVENCIONAL;104km;R$:29,93 
CUPIRA/ARIPIBU;CONVENCIONAL;96km;R$:27,63 
CUPIRA/RIBEIRÃO;CONVENCIONAL;87km;R$:25,04 
CUPIRA/ENT. GAMELEIRA;CONVENCIONAL;80km;R$:23,02 
CUPIRA/PALMARES;CONVENCIONAL;49km;R$:14,10 
CUPIRA/CATENDE;CONVENCIONAL;33km;R$:9,50 
CUPIRA/BELÉM DE MARIA;CONVENCIONAL;13km;R$:4,00 
CUPIRA/LAGOA DOS GATOS;CONVENCIONAL;6km;R$:4,00 
LAGOA DOS GATOS/RECIFE;CONVENCIONAL;175km;R$:50,36 
LAGOA DOS GATOS/PONTE DOS CARVALHOS;CONVENCIONAL;158km;R$:45,47 
LAGOA DOS GATOS/CABO;CONVENCIONAL;151km;R$:43,45 
LAGOA DOS GATOS/MERÇÊS;CONVENCIONAL;135km;R$:38,85 
LAGOA DOS GATOS/TIMBOASSU;CONVENCIONAL;120km;R$:34,53 
LAGOA DOS GATOS/ESCADA;CONVENCIONAL;115km;R$:33,09 
LAGOA DOS GATOS/ENT. PRIMAVERA;CONVENCIONAL;98km;R$:28,20 
LAGOA DOS GATOS/ARIPIBU;CONVENCIONAL;90km;R$:25,90 
LAGOA DOS GATOS/RIBEIRÃO;CONVENCIONAL;81km;R$:23,31 
LAGOA DOS GATOS/ENT. GAMELEIRA;CONVENCIONAL;74km;R$:21,29 
LAGOA DOS GATOS/PALMARES;CONVENCIONAL;43km;R$:12,37 
LAGOA DOS GATOS/CATENDE;CONVENCIONAL;27km;R$:7,77 
LAGOA DOS GATOS/BELÉM DE MARIA;CONVENCIONAL;7km;R$:4,00 
BELÉM DE MARIA/RECIFE;CONVENCIONAL;168km;R$:48,34 
BELÉM DE MARIA/PONTE DOS CARVALHOS;CONVENCIONAL;151km;R$:43,45 
BELÉM DE MARIA/CABO;CONVENCIONAL;144km;R$:41,44 
BELÉM DE MARIA/MERÇÊS;CONVENCIONAL;128km;R$:36,83 
BELÉM DE MARIA/TIMBOASSU;CONVENCIONAL;113km;R$:32,52 
BELÉM DE MARIA/ESCADA;CONVENCIONAL;108km;R$:31,08 
BELÉM DE MARIA/ENT. PRIMAVERA;CONVENCIONAL;91km;R$:26,19 
BELÉM DE MARIA/ARIPIBU;CONVENCIONAL;83km;R$:23,88 
BELÉM DE MARIA/RIBEIRÃO;CONVENCIONAL;74km;R$:21,29 
